Marlon Brando;Humphrey Bogart;Marlon Brando;Charlie Chaplin;James Dean;https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcRWLCSRYKCTBKcyd_vuiqY6daiXs_zNelC31P8u4OyX1kAbMZo3;Iconico attore americano, noto per le sue interpretazioni rivoluzionarie in film come Il padrino.
Che Guevara;Fidel Castro;Che Guevara;Mao Zedong;Hugo Chavez;https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcQu2hpotPFXl7PAzFK65vLhQ16eD9j06awwqmXbbuobCFB_Ftfo;Rivoluzionario argentino-cubano, compagno di Fidel Castro e figura chiave nella rivoluzione cubana.
Emily Dickinson;Robert Frost;Emily Dickinson;William Wordsworth;Edgar Allan Poe;https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcQXdWqQ3iEY4FigSSfRrQFL8oUaQ01NwdU8qEc-cWE8jRR7vnkO;Poetessa americana del XIX secolo, nota per la sua poesia introspettiva e sperimentale.
Mother Teresa;Mahatma Gandhi;Mother Teresa;Martin Luther King Jr.;Pope John Paul II;https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcRE7tJdkrdgdg3Zls1DfCodChW37FHRYnyV3mnAzWBSkMz6vfic;Religiosa cattolica albanese-indiana, nota per il suo lavoro umanitario con i poveri e gli ammalati.
Oscar Wilde;Mark Twain;Oscar Wilde;William Shakespeare;Emily Brontë;https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcTlwXHIT0rBKQ536xVFo6yAqk-keYrr-_HQP4QHe9YJr6Gs-svn;Scrittore e poeta irlandese, celebre per il suo acume e il suo stile decadente.
Pablo Picasso;Salvador Dali;Pablo Picasso;Vincent van Gogh;Claude Monet;https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcQQZmSKreHRHPBb6kiwWMJGb-RnQSIzW4HaEBHAzA0QErwXk2aw;Pittore e scultore spagnolo, fondatore del cubismo e figura dominante dell'arte moderna.
Sojourner Truth;Harriet Tubman;Sojourner Truth;Frederick Douglass;Booker T. Washington;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ6feVS4PUsGGg1F1yIEHa2b3bE_ayWGrbHucyRlaHzDpC9Ekxj;"Abolizionista e attivista per i diritti delle donne afroamericane, famosa per il suo discorso ""Ain't I a Woman?""."
William Shakespeare;Christopher Marlowe;William Shakespeare;John Milton;Geoffrey Chaucer;https://upload.wikimedia.org/wikipedia/commons/3/36/Shakespeare_Droeshout_1623.jpg;Drammaturgo e poeta inglese del Rinascimento, autore di opere teatrali classiche come Romeo e Giulietta.
James Joyce;Ernest Hemingway;James Joyce;F. Scott Fitzgerald;William Faulkner;https://upload.wikimedia.org/wikipedia/commons/thumb/7/75/James_Joyce_by_Alex_Ehrenzweig%2C_1915_cropped.jpg/800px-James_Joyce_by_Alex_Ehrenzweig%2C_1915_cropped.jpg;Scrittore irlandese del modernismo, celebre per il suo romanzo Ulisse.
Mao Zedong;Deng Xiaoping;Mao Zedong;Chiang Kai-shek;Sun Yat-sen;https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcRJ4UNaps5jyuuaHIrWWbULih2oozhKlT-Ewy1Vc_afCCNkTjux;Revolutionary leader and founding father of the People's Republic of China, influential communist theorist.
Ernest Hemingway;John Steinbeck;Ernest Hemingway;George Orwell;William Faulkner;https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcRY8otkwuVqd53HNhZM7hsPfOvQVvcAao1yHYG6LzfORP585gER;Scrittore americano, celebre per i suoi romanzi come Il vecchio e il mare e Addio alle armi.
Frida Kahlo;Diego Rivera;Frida Kahlo;Salvador Dali;Pablo Picasso;https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcSjuZ7uvfP3gQn47RknYNlTQuwcraQPwGM4RGKYwlg9KFIrq9Zj;Artista messicana nota per i suoi autoritratti e il suo stile surreale.
Marilyn Monroe;Audrey Hepburn;Marilyn Monroe;Grace Kelly;Elizabeth Taylor;https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcTG7tAOOCOAUmKjKHjNX3Ko2bPKLNDQ2jVihBm4cleTDUK40ruE;Iconica attrice e modella americana, simbolo di sensualità e glamour.
Susan B. Anthony;Elizabeth Cady Stanton;Susan B. Anthony;Harriet Tubman;Sojourner Truth;https://upload.wikimedia.org/wikipedia/commons/2/28/SB_Anthony_from_RoRaWW.jpg;Attivista per i diritti delle donne americane e per l'abolizione della schiavitù, una delle figure chiave del movimento per il suffragio femminile.
Wolfgang Amadeus Mozart;Ludwig van Beethoven;Wolfgang Amadeus Mozart;Johann Sebastian Bach;Franz Liszt;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTU313GzPrltu8jkoBlO-uN8x62umsjBL5RjxQZ3pexsiZEa6kc;Compositore classico austriaco, uno dei più grandi geni musicali della storia.
Charles Dickens;Charlotte Brontë;Charles Dickens;Jane Austen;Emily Brontë;https://upload.wikimedia.org/wikipedia/commons/thumb/c/ce/Charles_Dickens_portrait_c1860s_restore.png/220px-Charles_Dickens_portrait_c1860s_restore.png;Scrittore inglese del XIX secolo, autore di opere come Grandi speranze e Oliver Twist.
John Locke;Thomas Hobbes;John Locke;Jean-Jacques Rousseau;Voltaire;https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcQrH_3u5xQBzcVCipODcS9kusfpvqn2EmoqITEftwD-dyJFGl_H;Filosofo inglese, uno dei pensatori più influenti dell'Illuminismo.
Malcolm X;Martin Luther King Jr.;Malcolm X;Rosa Parks;Nelson Mandela;https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcT3Tjdq4zH7-husIIlano1GQK_Oe6lyW6LCxkS7-8Knw-qV-jra;Leader afroamericano del movimento per i diritti civili, noto per il suo attivismo per l'uguaglianza razziale.
Napoleon Bonaparte;George Washington;Napoleon Bonaparte;Emperor Qin Shi Huang;Julius Caesar;https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcSTGtDw-orDSR385zrsbl91Kg19whIDzKopZ4IZl_0BQpXDY5jO;Generale e leader politico francese, noto per le sue campagne militari e il suo dominio come imperatore.
Plato;Aristotle;Plato;Socrates;Cicero;https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcTpus3C5ILc7RQgH8Ec30J-q9Ao0LozCWU13VXnsF7tr5JLxh1c;Filosofo greco antico, fondatore dell'Accademia di Atene e autore di dialoghi filosofici.
Salvador Dali;Pablo Picasso;Salvador Dali;Vincent van Gogh;Claude Monet;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTyQKvNvF5TJ3m7eMox99Wid5CO4YprSf0Nd9IosfpD6FsuBv9y;Pittore surrealista spagnolo, celebre per le sue opere bizzarre e visionarie.
Michael Jackson;Elvis Presley;Michael Jackson;Prince;David Bowie;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ88yKwCAPje6Tbv-wxmj0M0rRfozsjh_uZByKmNnoPlMyI1r5-;"Iconico cantante e ballerino pop americano, noto come il ""Re del Pop""."
Cleopatra;Julius Caesar;Cleopatra;Alexander the Great;Mark Antony;https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcTPIjHGERXU-qoIQBMFjw_CK6L_QpeIAhOfWorKHTg-hK5ccDFm;Regina egizia nota per la sua bellezza e la sua abilità politica, famosa per la sua relazione con Giulio Cesare e Marco Antonio.
Mikhail Gorbachev;Joseph Stalin;Mikhail Gorbachev;Vladimir Putin;Nikita Khrushchev;https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcQzT--eX5z6r9QqV719yXDlw8TFa7RIjoXJE1k9tYs28VRTWojE;Leader sovietico, noto per le sue riforme politiche ed economiche che hanno portato al crollo dell'Unione Sovietica.
Marie Antoinette;Louis XVI;Marie Antoinette;Napoleon Bonaparte;Queen Victoria;https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcQTB3U1h5ZVwuPuwzP-_v9VgSbNlIlA94HOJL0tHbKkxkfTPWS2;Regina di Francia, famosa per la sua vita sontuosa e il suo infelice destino durante la Rivoluzione Francese.
Pope Francis;Pope John Paul II;Pope Francis;Mother Teresa;Dalai Lama;https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcRXiI3qJ4-azLgoco--recGkEgfoeGfZFet8AttP-8hs3Lr2FYY;Papa della Chiesa Cattolica Romana, noto per la sua umiltà e il suo impegno per la giust
Rutherford B. Hayes;Ulysses S. Grant;Rutherford B. Hayes;Abraham Lincoln;Andrew Johnson;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcShZsDdOTkL58MCEwcBtr7lMz_UgKU8xLJk9N7dN611GfyF7-SU;19° presidente degli Stati Uniti, noto per il suo impegno per il diritto civile.
Sun Yat-sen;Mao Zedong;Sun Yat-sen;Chiang Kai-shek;Deng Xiaoping;https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcR7XC53iXgiaQsGhKEhbuomKxXSNJLaYmktQU9GBwv8f09jrtLG;Primo presidente e fondatore della Repubblica di Cina, unificatore della Cina moderna.
Theodore Roosevelt;Woodrow Wilson;Theodore Roosevelt;Franklin D. Roosevelt;Harry S. Truman;https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcQvYNpUEIjS-iaVRsxVpMOzEjzrr7R9t2wtb4fIETwVINHb_Dmq;26° presidente degli Stati Uniti, noto per il suo attivismo ambientale e per il suo stile di leadership energico.
William Faulkner;Ernest Hemingway;William Faulkner;F. Scott Fitzgerald;John Steinbeck;https://upload.wikimedia.org/wikipedia/commons/8/82/Carl_Van_Vechten_-_William_Faulkner_%28greyscale_and_cropped%29.jpg;Scrittore americano, vincitore del Premio Nobel per la Letteratura, celebre per i suoi romanzi sull'America del sud.
Yoko Ono;John Lennon;Yoko Ono;Paul McCartney;Ringo Starr;https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcSwa-PyyjM0I3UdAJM7-I-9-xZlMI6ERGlBSef26nqOYTf6WAZ2;Artista giapponese e attivista per i diritti umani, nota per il suo lavoro nella musica, nell'arte concettuale e nell'attivismo.
Barack Obama;George W. Bush;Barack Obama;Bill Clinton;Jimmy Carter;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSMtbV3AA1vNkzU2-eebrRczqU7jyofv53qbb6TOAQ_blaDZcrz;44º presidente degli Stati Uniti, primo presidente afroamericano del paese.
Elizabeth II;Queen Victoria;Elizabeth II;Prince Philip;Prince Charles;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTs-1vRsYDcD7iTuGoYeSsbdueOaTCU3qXOhC8Ox2yRbWt6tNRz;Regina del Regno Unito dal 1952, la più longeva regnante nella storia britannica.
Gandhi;Martin Luther King Jr.;Gandhi;Nelson Mandela;Malcolm X;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSIxFgzGPHD_uZn5aA-RMCwQ8tWRDmk71t6PXwklwlvZ7GxSaqB;Leader indiano della lotta per l'indipendenza dall'Impero britannico, noto per il suo impegno per la non violenza.
Karl Marx;Friedrich Engels;Karl Marx;Vladimir Lenin;Leon Trotsky;https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcQA7-SuIFXKeZ-AzL-J7lKekpToLofpiMhCgDvaqC1QubOlitny;Filosofo, economista e teorico politico tedesco, autore de Il Capitale e co-fondatore del comunismo moderno.
George Orwell;Aldous Huxley;George Orwell;Ray Bradbury;Arthur C. Clarke;https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcRnYkT_gUyIThdga5MyLvgCGLhqeTP33xMIkRZJAlCq3LcLlK2O;Scrittore inglese, autore di romanzi come 1984 e Animal Farm, noto per la sua critica al totalitarismo.
Henry VIII;Elizabeth I;Henry VIII;King Edward VI;Queen Mary I;https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcQX-u6l1TqRiVu9Rx1gTTvitvCh_7ShgyUuhOnYSfQRJ3N6tIHm;Re d'Inghilterra del XVI secolo, noto per aver scisso l'Inghilterra dalla Chiesa cattolica romana per fondare la Chiesa anglicana.
Leon Trotsky;Joseph Stalin;Leon Trotsky;Vladimir Lenin;Mikhail Gorbachev;https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcRjbioZ7PBYQLLZOczIL4OrvdFS94LHQ3g-b98LR8v03gFbGaNb;Rivoluzionario e politico russo, figura chiave della Rivoluzione russa e dell'Internazionalismo.
Queen Elizabeth II;Prince Philip;Queen Elizabeth II;Prince Charles;Prince William;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTs-1vRsYDcD7iTuGoYeSsbdueOaTCU3qXOhC8Ox2yRbWt6tNRz;Regina del Regno Unito dal 1952, la più longeva regnante nella storia britannica.
Eleanor Roosevelt;Margaret Thatcher;Eleanor Roosevelt;Golda Meir;Rosa Parks;https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcQN1fVdS0559mIujbGF6fpUlQ9vFbMSa9SdzFhkWO7KxbLjr_LH;Prima Dama degli Stati Uniti dal 1933 al 1945, attivista per i diritti umani e moglie del presidente Franklin D. Roosevelt.
